nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt
CANOAS II;51;Fio dagua;PARANAPANEMA;;SE;SUDESTE;2005-01-03;50.0;57.17;50.0;57.17
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2005-01-03;377.0;63.31;377.0;63.31
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;;SE;SUDESTE;2005-01-03;215.0;64.15;215.0;64.15
CORUMBA;30;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-03;378.0;83.88;378.0;83.88
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;;N;NORTE;2005-01-03;14.0;59.79;14.0;59.79
D. FRANCISCA;114;Fio dagua;JACUI;;S;SUL;2005-01-03;26.0;35.87;26.0;35.87
E. DA CUNHA;15;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-03;62.0;52.87;62.0;52.87
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;;SE;SUDESTE;2005-01-03;804.0;82.8;804.0;82.8
FONTES;132;Fio dagua;PARAIBA DO SUL;;SE;SUDESTE;2005-01-03;102.0;89.09;102.0;89.09
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;;SE;SUDESTE;2005-01-03;95.0;47.4;95.0;47.4
FUNIL-MG;4;Fio dagua;GRANDE;;SE;SUDESTE;2005-01-03;162.0;80.74;105.0;52.33
FURNAS;6;Reservatório com Usina;GRANDE;;SE;SUDESTE;2005-01-03;976.0;72.72;976.0;72.72
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;;S;SUL;2005-01-03;369.0;51.92;369.0;51.92
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;;S;SUL;2005-01-03;132.0;79.51;132.0;79.51
